﻿Age (bin),Churn Category,Churn Label,Churn Reason,Contract Type,Customer ID,Device Protection & Online Backup,Gender,Group,Grouped Monthly GB Download,Intl Active,Intl Plan,Number of Customers in Group,Payment Method,Phone Number,Senior,State,Under 30,Unlimited Data Plan,Account Length (in months),Age,Avg Customer Service Calls,Avg Extra Data Charges,Avg Extra Intl Charges,Avg Monthly GB Download,Churned,Customer Service Calls,Extra Data Charges,Extra International Charges,Intl Calls,Intl Mins,Local Calls,Local Mins,Monthly Charge,Number of Churned Customers,Total Charges
35,,No,,Month-to-Month,4444-BZPU,No,Female,No,0-5,No,no,0,Direct Debit,382-4657,No,KS,No,Yes,1,35,0,$0.00 ,$0.00 ,3,0,0,$0 ,$0 ,0,0,3,8,$10.00 ,0,10
45,,No,,One Year,5676-PTZX,Yes,Male,No,0-5,No,no,0,Paper Check,371-7191,No,OH,No,Yes,33,49,0,$0.00 ,$0.00 ,3,0,0,$0 ,$0 ,0,0,179,431.3,$21.00 ,0,703
50,,No,,One Year,8532-ZEKQ,Yes,Male,No,0-5,No,yes,0,Direct Debit,375-9999,No,OH,No,Yes,44,51,0,$0.00 ,$0.00 ,3,0,0,$0 ,$0 ,0,0,82,217.6,$23.00 ,0,"1,014"
40,,No,,Month-to-Month,1314-SMPJ,No,Female,No,0-5,Yes,yes,0,Paper Check,329-9001,No,MO,No,Yes,10,41,0,$0.00 ,$0.00 ,2,0,0,$0 ,$0 ,60,71,47,111.6,$17.00 ,0,177
50,,No,,One Year,2956-TXCJ,No,Male,No,0-5,Yes,yes,0,Direct Debit,330-8173,No,WV,No,Yes,62,51,0,$0.00 ,$0.00 ,3,0,0,$0 ,$0 ,310,694.4,184,621.2,$28.00 ,0,"1,720"
20,,No,,Two Year,9152-DEPY,No,Male,No,0-5,No,no,0,Credit Card,344-9403,No,RI,Yes,No,17,23,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,68,120.7,$9.00 ,0,156
35,,No,,One Year,1958-SDSO,Yes,Male,No,10-May,No,no,0,Credit Card,363-1107,No,IA,No,Yes,57,38,0,$0.00 ,$0.00 ,5,0,0,$0 ,$0 ,0,0,428,849.2,$47.00 ,0,"2,671"
25,,No,,Month-to-Month,8787-QZUC,Yes,Male,No,>10,No,no,0,Direct Debit,366-9238,No,IA,Yes,Yes,25,29,0,$0.00 ,$0.00 ,12,0,0,$0 ,$0 ,0,0,54,203.7,$47.00 ,0,"1,197"
45,,No,,Two Year,7768-OQJE,Yes,Female,No,0-5,No,no,0,Credit Card,351-7269,No,NY,No,Yes,70,47,0,$0.00 ,$0.00 ,1,0,0,$0 ,$0 ,0,0,171,627.4,$52.00 ,0,"3,593"
60,,No,,One Year,7716-RHEB,No,Female,No,0-5,No,no,0,Paper Check,350-8884,No,ID,No,No,50,61,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,206,445.8,$11.00 ,0,539
55,,No,,Two Year,4139-EXJK,Yes,Male,No,0-5,No,no,0,Direct Debit,386-2923,No,VT,No,Yes,69,59,0,$0.00 ,$0.00 ,2,0,0,$0 ,$0 ,0,0,430,899.4,$67.00 ,0,"4,636"
30,,No,,Month-to-Month,1133-QYCQ,Yes,Female,No,>10,No,no,0,Direct Debit,373-2782,No,TX,No,No,21,33,0,$20.00 ,$0.00 ,18,0,0,$20 ,$0 ,0,0,85,227.6,$56.00 ,0,"1,161"
40,,No,,One Year,3423-EQRP,No,Male,No,0-5,No,no,0,Direct Debit,393-7984,No,CO,No,No,10,44,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,31,61.3,$13.00 ,0,128
25,,No,,Two Year,6070-AXDL,No,Female,No,>10,No,no,0,Credit Card,350-2565,No,SC,Yes,Yes,59,27,0,$0.00 ,$0.00 ,19,0,0,$0 ,$0 ,0,0,299,585.2,$31.00 ,0,"1,795"
25,,No,,Month-to-Month,1260-HOAY,No,Female,No,10-May,No,no,0,Direct Debit,331-3698,No,NE,Yes,Yes,28,27,0,$0.00 ,$0.00 ,7,0,0,$0 ,$0 ,0,0,36,110.7,$22.00 ,0,602
35,,No,,Two Year,4633-QIYZ,Yes,Male,No,>10,No,no,0,Credit Card,353-2630,No,MO,No,Yes,71,35,0,$0.00 ,$0.00 ,14,0,0,$0 ,$0 ,0,0,126,352.9,$54.00 ,0,"3,779"
70,,No,,Two Year,7650-WQWA,Yes,Female,No,0-5,No,no,0,Credit Card,416-8428,Yes,IL,No,Yes,70,74,0,$0.00 ,$0.00 ,4,0,0,$0 ,$0 ,0,0,128,351.2,$52.00 ,0,"3,675"
75,,No,,One Year,9039-LTDP,Yes,Male,No,0-5,No,no,0,Credit Card,370-3359,Yes,NH,No,No,2,76,0,$7.00 ,$0.00 ,4,0,0,$7 ,$0 ,0,0,8,20.9,$55.00 ,0,104
45,,No,,One Year,9552-QCAO,Yes,Female,No,0-5,No,no,0,Credit Card,383-1121,No,LA,No,Yes,28,49,0,$0.00 ,$0.00 ,4,0,0,$0 ,$0 ,0,0,158,311.7,$40.00 ,0,"1,122"
30,,No,,Month-to-Month,8785-ENDQ,No,Male,No,0-5,No,no,0,Direct Debit,360-1596,No,AZ,No,No,1,34,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,2,6,$11.00 ,0,11
75,,No,,One Year,0640-LNBK,No,Male,No,0-5,No,no,0,Direct Debit,395-2854,Yes,OK,No,Yes,1,76,0,$0.00 ,$0.00 ,4,0,0,$0 ,$0 ,0,0,2,7,$29.00 ,0,29
55,,No,,Two Year,4782-CHZM,No,Female,No,10-May,No,no,0,Direct Debit,362-1407,No,GA,No,Yes,73,58,0,$0.00 ,$0.00 ,7,0,0,$0 ,$0 ,0,0,162,435.5,$43.00 ,0,"3,121"
20,,No,,Month-to-Month,1380-YANO,Yes,Female,No,>10,No,no,0,Credit Card,353-3305,No,MA,Yes,Yes,47,21,0,$0.00 ,$0.00 ,23,0,0,$0 ,$0 ,0,0,264,759,$41.00 ,0,"1,926"
50,,No,,One Year,2754-HZFE,No,Male,No,0-5,No,no,0,Credit Card,372-9976,No,GA,No,Yes,10,51,0,$0.00 ,$0.00 ,2,0,0,$0 ,$0 ,0,0,46,105.6,$27.00 ,0,262
55,,No,,Two Year,4676-RXAH,No,Female,No,10-May,Yes,yes,0,Credit Card,383-6029,No,MD,No,No,70,56,0,$36.00 ,$0.00 ,5,0,0,$36 ,$0 ,"1,050","1,022",187,422.5,$24.00 ,0,"1,676"
25,,No,,One Year,6145-MBHF,No,Female,No,0-5,No,no,0,Credit Card,353-7289,No,AR,Yes,No,20,28,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,40,141.1,$9.00 ,0,180
35,,No,,Two Year,5992-ZZKY,Yes,Female,No,10-May,No,no,0,Credit Card,390-7274,No,ID,No,Yes,61,39,0,$0.00 ,$0.00 ,6,0,0,$0 ,$0 ,0,0,229,487.1,$52.00 ,0,"3,151"
40,,No,,Month-to-Month,8539-DXRY,No,Female,No,10-May,No,no,0,Direct Debit,352-1237,No,WI,No,Yes,13,41,0,$0.00 ,$0.00 ,7,0,0,$0 ,$0 ,0,0,34,103,$32.00 ,0,417
50,,No,,Month-to-Month,7420-TFLD,No,Female,No,10-May,No,no,0,Direct Debit,353-3061,No,OR,No,Yes,46,53,0,$0.00 ,$0.00 ,6,0,0,$0 ,$0 ,0,0,234,554.8,$28.00 ,0,"1,316"
20,,No,,Month-to-Month,0346-QDGF,No,Male,No,>10,No,no,0,Credit Card,363-5450,No,MI,Yes,Yes,2,22,0,$0.00 ,$0.00 ,24,0,0,$0 ,$0 ,0,0,10,17.7,$21.00 ,0,41
25,,No,,Two Year,1564-AAIM,No,Male,No,>10,No,no,0,Credit Card,398-1294,No,ID,Yes,Yes,53,25,0,$0.00 ,$0.00 ,37,0,0,$0 ,$0 ,0,0,409,846.2,$51.00 ,0,"2,680"
60,,No,,Two Year,8995-MKVE,Yes,Female,No,0-5,No,no,0,Credit Card,405-7146,No,WY,No,No,66,62,0,$16.00 ,$0.00 ,3,0,0,$16 ,$0 ,0,0,204,397.9,$35.00 ,0,"2,351"
65,,No,,One Year,5708-KVWR,No,Female,No,10-May,No,no,0,Direct Debit,413-4957,Yes,IA,No,Yes,43,69,0,$0.00 ,$0.00 ,7,0,0,$0 ,$0 ,0,0,86,255.2,$41.00 ,0,"1,761"
60,,No,,One Year,6307-TNXU,No,Female,No,0-5,No,no,0,Credit Card,349-4396,No,VA,No,Yes,25,63,0,$0.00 ,$0.00 ,1,0,0,$0 ,$0 ,0,0,72,227,$32.00 ,0,799
